# Index         RTT         SRTT         Diff         Timeout
   1            8693.0000    1090.1250    1900.5000    8692.1250
   2            8072.0000    1962.8594    2952.6250    13773.3594
   3            8353.0000    2761.6270    3612.2188    17210.5020
   4            8362.0000    3461.6736    3934.1641    19198.3301
   5            8948.0000    4147.4644    4150.6230    20749.9570
   6            9164.0000    4774.5312    4210.2173    21615.4004
   7            8505.0000    5240.8398    3973.6631    21135.4922
   8            8816.0000    5687.7349    3762.2473    20736.7246
   9            14676.0000    6811.2681    4787.6855    25962.0098
   9            6852.0000    6816.3594    3599.5142    21214.4160
   10            9583.0000    7162.1895    3304.6355    20380.7324
   11            9817.0000    7494.0410    3058.9766    19729.9473
   12            7905.0000    7545.4106    2383.9824    17081.3398
   13            9501.0000    7789.8594    2215.7368    16652.8066
   14            7292.0000    7727.6270    1770.5526    14809.8379
   15            8592.0000    7835.6738    1516.9146    13903.3320
   16            6981.0000    7728.8394    1324.4359    13026.5830
   17            7929.0000    7753.8594    1037.0769    11902.1670
   18            8011.0000    7786.0020     833.8077    11121.2324
   19            8655.0000    7894.6270     815.3558    11156.0498
   20            7765.0000    7878.4233     639.7668    10437.4912
   21            8494.0000    7955.3706     614.3251    10412.6709
   22            7719.0000    7925.8242     512.2438    9974.7998
   23            8031.0000    7938.9712     407.1829    9567.7031
   24            9125.0000    8087.2246     564.6371    10345.7734
   25            6562.0000    7896.5718     756.9778    10924.4834
   26            8032.0000    7913.5000     597.2334    10302.4336
   27            8224.0000    7952.3125     515.6750    10015.0127
   28            7432.0000    7887.2734     500.5063    9889.2988
   29            9446.0000    8082.1143     716.1297    10946.6328
   30            8623.0000    8149.7251     655.3473    10771.1143
   31            8685.0000    8216.6348     608.5104    10650.6768
   32            7954.0000    8183.8052     513.6329    10238.3369
   33            6776.0000    8007.8296     692.9746    10779.7285
   34            6903.0000    7869.7256     761.2310    10914.6494
   35            9078.0000    8020.7603     835.1732    11361.4531
   36            7703.0000    7981.0400     695.8799    10764.5596
   37            9099.0000    8120.7852     766.4100    11186.4248
   38            9797.0000    8330.3115     941.3074    12095.5420
   39            11820.0000    8766.5225    1469.2306    14643.4453
   40            8623.0000    8748.5830    1133.1730    13281.2744
   41            7190.0000    8553.7598    1190.6298    13316.2783
   42            6898.0000    8346.7900    1254.9723    13366.6787
   43            6924.0000    8168.9409    1252.2292    13177.8574
   44            7942.0000    8140.5732     988.6719    12095.2607
   45            7145.0000    8016.1270     959.2539    11853.1426
   46            8958.0000    8133.8608     925.4404    11835.6230
   47            8235.0000    8146.5034     716.0803    11010.8242
   48            8460.0000    8185.6904     605.5602    10607.9316
   49            8716.0000    8251.9795     570.1702    10532.6602
   50            7972.0000    8216.9814     488.6277    10171.4922
   51            8183.0000    8212.7344     373.7207    9707.6172
   52            8674.0000    8270.3926     381.0406    9794.5547
   53            7929.0000    8227.7178     360.2804    9668.8398
   54            8661.0000    8281.8789     364.9603    9741.7197
   55            7857.0000    8228.7686     366.4702    9694.6494
   56            8780.0000    8297.6729     395.3527    9879.0830
   57            10175.0000    8532.3389     707.0145    11360.3965
   58            9381.0000    8638.4209     715.7609    11501.4648
   59            7896.0000    8545.6182     699.0707    11341.9014
   60            8257.0000    8509.5410     587.3030    10858.7529
   61            9748.0000    8664.3486     711.2272    11509.2578
   62            8324.0000    8621.8047     607.6704    11052.4863
   63            7625.0000    8497.2041     673.7528    11192.2158
   64            7082.0000    8320.3037     814.8146    11579.5625
   65            8679.0000    8365.1406     689.3610    11122.5850
   66            7853.0000    8301.1230     629.0208    10817.2061
   67            7793.0000    8237.6074     582.7656    10568.6699
   68            8275.0000    8242.2822     445.0742    10022.5781
   69            8700.0000    8299.4971     433.8056    10034.7188
